,date,winner,loser,result,draw,Match_rank,dyad
1,2015-05-07,carm,dori,1,FALSE,1,Af_Af
2,2015-05-07,carm,dori,1,FALSE,1,Af_Af
3,2015-05-07,carm,fina,1,FALSE,1,Jf_Af
4,2015-05-07,cind,ging,1,FALSE,0,Af_Jf
5,2015-05-07,coco,holl,1,FALSE,1,Af_Af
6,2015-05-07,coco,holl,1,FALSE,1,Af_Af
7,2015-05-07,dori,wokb,1,FALSE,1,Af_Af
8,2015-05-07,fay,ging,1,FALSE,1,Af_Af
9,2015-05-07,ging,fent,1,FALSE,1,Jm_Af
10,2015-05-07,holl,cind,1,FALSE,1,Jf_Af
11,2015-05-07,larr,mori,1,FALSE,1,Am_Am
12,2015-05-07,lucy,cind,1,FALSE,1,Jf_Af
13,2015-05-07,mori,talu,1,FALSE,1,Jm_Am
14,2015-05-07,mori,tyle,1,FALSE,0,Am_Am
15,2015-05-07,mori,gimp,1,FALSE,1,Jm_Am
16,2015-05-07,panc,holl,1,FALSE,1,Af_Am
17,2015-05-07,panc,talu,1,FALSE,1,Jm_Am
18,2015-05-07,panc,raje,1,FALSE,1,Am_Am
19,2015-05-07,panc,ring,1,FALSE,1,Am_Am
20,2015-05-07,panc,talu,1,FALSE,1,Jm_Am
21,2015-05-07,panc,flyn,1,FALSE,1,Am_Am
22,2015-05-07,ring,saff,1,FALSE,0,Jf_Am
23,2015-05-07,ring,oreo,1,FALSE,1,Jf_Am
24,2015-05-07,saff,flyn,1,FALSE,1,Am_Jf
25,2015-05-07,sash,lucy,1,FALSE,1,Af_Af
26,2015-05-07,scar,lucy,1,FALSE,1,Af_Af
27,2015-05-07,scar,coco,1,FALSE,1,Af_Af
28,2015-05-07,wokb,cind,1,FALSE,1,Jf_Af
29,2015-05-07,larr,panc,2,FALSE,0,Am_Am
30,2015-05-07,fent,wokb,3,TRUE,0,Af_Jm
31,2015-05-08,fay,holl,1,FALSE,1,Af_Af
32,2015-05-08,fent,cind,1,FALSE,1,Jf_Jm
33,2015-05-08,flyn,ring,1,FALSE,0,Am_Am
34,2015-05-08,flyn,mori,1,FALSE,0,Am_Am
35,2015-05-08,larr,ring,1,FALSE,1,Am_Am
36,2015-05-08,larr,panc,1,FALSE,0,Am_Am
37,2015-05-08,larr,flyn,1,FALSE,1,Am_Am
38,2015-05-08,lucy,oreo,1,FALSE,1,Jf_Af
39,2015-05-08,lucy,flo,1,FALSE,1,Af_Af
40,2015-05-08,mori,tyle,1,FALSE,0,Am_Am
41,2015-05-08,ocea,talu,1,FALSE,0,Jm_Af
42,2015-05-08,oreo,holl,1,FALSE,0,Af_Jf
43,2015-05-08,panc,mori,1,FALSE,1,Am_Am
44,2015-05-08,panc,flyn,1,FALSE,1,Am_Am
45,2015-05-08,panc,raje,1,FALSE,1,Am_Am
46,2015-05-08,sash,ocea,1,FALSE,1,Af_Af
47,2015-05-08,sash,holl,1,FALSE,1,Af_Af
48,2015-05-08,sash,flo,1,FALSE,1,Af_Af
49,2015-05-08,sash,saff,1,FALSE,1,Jf_Af
50,2015-05-08,sash,lucy,1,FALSE,1,Af_Af
51,2015-05-08,scar,phoe,1,FALSE,1,Af_Af
52,2015-05-08,talu,flo,1,FALSE,1,Af_Jm
53,2015-05-08,tyle,raje,1,FALSE,1,Am_Am
54,2015-05-08,fay,talu,2,FALSE,1,Jm_Af
55,2015-05-08,dori,flyn,3,TRUE,0,Am_Af
56,2015-05-08,carm,saff,3,TRUE,0,Jf_Af
57,2015-05-08,flyn,panc,3,TRUE,0,Am_Am
58,2015-05-11,carm,flo,1,FALSE,1,Af_Af
59,2015-05-11,dori,carm,1,FALSE,0,Af_Af
60,2015-05-11,flyn,ring,1,FALSE,0,Am_Am
61,2015-05-11,flyn,ring,1,FALSE,0,Am_Am
62,2015-05-11,lucy,oreo,1,FALSE,1,Jf_Af
63,2015-05-11,lucy,ring,1,FALSE,0,Am_Af
64,2015-05-11,mori,talu,1,FALSE,1,Jm_Am
65,2015-05-11,mori,ring,1,FALSE,1,Am_Am
66,2015-05-11,oreo,fina,1,FALSE,1,Jf_Jf
67,2015-05-11,panc,ocea,1,FALSE,1,Af_Am
68,2015-05-11,panc,ring,1,FALSE,1,Am_Am
69,2015-05-11,panc,flyn,1,FALSE,1,Am_Am
70,2015-05-11,panc,ring,1,FALSE,1,Am_Am
71,2015-05-11,panc,ring,1,FALSE,1,Am_Am
72,2015-05-11,panc,mori,1,FALSE,1,Am_Am
73,2015-05-11,panc,flyn,1,FALSE,1,Am_Am
74,2015-05-11,panc,ring,1,FALSE,1,Am_Am
75,2015-05-11,panc,flyn,1,FALSE,1,Am_Am
76,2015-05-11,panc,ring,1,FALSE,1,Am_Am
77,2015-05-11,panc,flyn,1,FALSE,1,Am_Am
78,2015-05-11,panc,ring,1,FALSE,1,Am_Am
79,2015-05-11,phoe,holl,1,FALSE,1,Af_Af
80,2015-05-11,phoe,spoc,1,FALSE,0,Jm_Af
81,2015-05-11,ring,panc,1,FALSE,0,Am_Am
82,2015-05-11,ring,raje,1,FALSE,1,Am_Am
83,2015-05-11,ring,raje,1,FALSE,1,Am_Am
84,2015-05-11,ring,panc,1,FALSE,0,Am_Am
85,2015-05-11,ring,raje,1,FALSE,1,Am_Am
86,2015-05-11,sash,holl,1,FALSE,1,Af_Af
87,2015-05-11,sash,lucy,1,FALSE,1,Af_Af
88,2015-05-11,sash,flyn,1,FALSE,1,Am_Af
89,2015-05-11,scar,lucy,1,FALSE,1,Af_Af
90,2015-05-11,scar,lucy,1,FALSE,1,Af_Af
91,2015-05-11,tyle,flyn,1,FALSE,1,Am_Am
92,2015-05-11,tyle,mori,1,FALSE,1,Am_Am
93,2015-05-11,tyle,raje,1,FALSE,1,Am_Am
94,2015-05-11,flyn,mori,2,FALSE,0,Am_Am
95,2015-05-11,spoc,gimp,2,FALSE,1,Jm_Jm
96,2015-05-11,raje,flo,3,TRUE,0,Af_Am
97,2015-05-11,ring,panc,3,TRUE,0,Am_Am
98,2015-05-12,fay,phoe,1,FALSE,1,Af_Af
99,2015-05-12,fay,phoe,1,FALSE,1,Af_Af
100,2015-05-12,flyn,raje,1,FALSE,1,Am_Am
101,2015-05-12,flyn,raje,1,FALSE,1,Am_Am
102,2015-05-12,flyn,tyle,1,FALSE,0,Am_Am
103,2015-05-12,flyn,panc,1,FALSE,0,Am_Am
104,2015-05-12,mori,talu,1,FALSE,1,Jm_Am
105,2015-05-12,mori,tyle,1,FALSE,0,Am_Am
106,2015-05-12,panc,talu,1,FALSE,1,Jm_Am
107,2015-05-12,panc,ring,1,FALSE,1,Am_Am
108,2015-05-12,panc,ring,1,FALSE,1,Am_Am
109,2015-05-12,phoe,dori,1,FALSE,1,Af_Af
110,2015-05-12,ring,panc,1,FALSE,0,Am_Am
111,2015-05-12,sash,holl,1,FALSE,1,Af_Af
112,2015-05-12,sash,coco,1,FALSE,1,Af_Af
113,2015-05-12,sash,saff,1,FALSE,1,Jf_Af
114,2015-05-12,sash,flo,1,FALSE,1,Af_Af
115,2015-05-12,scar,talu,1,FALSE,1,Jm_Af
116,2015-05-12,talu,ging,1,FALSE,1,Af_Jm
117,2015-05-12,tyle,ring,1,FALSE,1,Am_Am
118,2015-05-12,tyle,talu,1,FALSE,1,Jm_Am
119,2015-05-12,ging,talu,2,FALSE,0,Jm_Af
120,2015-05-12,panc,flyn,2,FALSE,1,Am_Am
121,2015-05-12,sash,ring,2,FALSE,1,Am_Af
122,2015-05-12,scar,talu,2,FALSE,1,Jm_Af
123,2015-05-12,wokb,flyn,2,FALSE,0,Am_Af
124,2015-05-12,panc,flyn,3,TRUE,0,Am_Am
125,2015-05-12,flyn,panc,3,TRUE,0,Am_Am
126,2015-05-12,holl,panc,3,TRUE,0,Am_Af
127,2015-05-13,coco,carm,1,FALSE,1,Af_Af
128,2015-05-13,fay,ocea,1,FALSE,1,Af_Af
129,2015-05-13,flyn,panc,1,FALSE,0,Am_Am
130,2015-05-13,flyn,gimp,1,FALSE,1,Jm_Am
131,2015-05-13,lucy,oreo,1,FALSE,1,Jf_Af
132,2015-05-13,mori,raje,1,FALSE,1,Am_Am
133,2015-05-13,mori,tyle,1,FALSE,0,Am_Am
134,2015-05-13,panc,flyn,1,FALSE,1,Am_Am
135,2015-05-13,panc,talu,1,FALSE,1,Jm_Am
136,2015-05-13,panc,ring,1,FALSE,1,Am_Am
137,2015-05-13,panc,holl,1,FALSE,1,Af_Am
138,2015-05-13,panc,gimp,1,FALSE,1,Jm_Am
139,2015-05-13,phoe,scar,1,FALSE,0,Af_Af
140,2015-05-13,ring,panc,1,FALSE,0,Am_Am
141,2015-05-13,saff,daen,1,FALSE,1,Jf_Jf
142,2015-05-13,sash,wokb,1,FALSE,1,Af_Af
143,2015-05-13,sash,flyn,1,FALSE,1,Am_Af
144,2015-05-13,sash,holl,1,FALSE,1,Af_Af
145,2015-05-13,sash,coco,1,FALSE,1,Af_Af
146,2015-05-13,sash,coco,1,FALSE,1,Af_Af
147,2015-05-13,tyle,flyn,1,FALSE,1,Am_Am
148,2015-05-13,sash,tyle,2,FALSE,0,Am_Af
149,2015-05-13,hect,gimp,3,TRUE,0,Jm_Jm
150,2015-05-13,flo,panc,3,TRUE,0,Am_Af
151,2015-05-13,flyn,panc,3,TRUE,0,Am_Am
152,2015-05-13,raje,ring,3,TRUE,0,Am_Am
153,2015-05-14,coco,holl,1,FALSE,1,Af_Af
154,2015-05-14,coco,gizm,1,FALSE,1,Jf_Af
155,2015-05-14,flyn,ring,1,FALSE,0,Am_Am
156,2015-05-14,gizm,flo,1,FALSE,1,Af_Jf
157,2015-05-14,holl,hect,1,FALSE,1,Jm_Af
158,2015-05-14,mori,raje,1,FALSE,1,Am_Am
159,2015-05-14,mori,carm,1,FALSE,1,Af_Am
160,2015-05-14,mori,tyle,1,FALSE,0,Am_Am
161,2015-05-14,panc,ring,1,FALSE,1,Am_Am
162,2015-05-14,panc,flyn,1,FALSE,1,Am_Am
163,2015-05-14,panc,flyn,1,FALSE,1,Am_Am
164,2015-05-14,panc,flyn,1,FALSE,1,Am_Am
165,2015-05-14,raje,flyn,1,FALSE,0,Am_Am
166,2015-05-14,ring,coco,1,FALSE,1,Af_Am
167,2015-05-14,ring,hect,1,FALSE,1,Jm_Am
168,2015-05-14,sash,mori,1,FALSE,1,Am_Af
169,2015-05-14,sash,wokb,1,FALSE,1,Af_Af
170,2015-05-14,sash,flo,1,FALSE,1,Af_Af
171,2015-05-14,scar,lucy,1,FALSE,1,Af_Af
172,2015-05-14,scar,talu,1,FALSE,1,Jm_Af
173,2015-05-14,scar,flo,1,FALSE,1,Af_Af
174,2015-05-14,scar,fina,1,FALSE,1,Jf_Af
175,2015-05-14,talu,ocea,1,FALSE,1,Af_Jm
176,2015-05-14,flyn,raje,2,FALSE,1,Am_Am
177,2015-05-14,flyn,tyle,2,FALSE,0,Am_Am
178,2015-05-14,mori,raje,2,FALSE,1,Am_Am
179,2015-05-14,panc,raje,2,FALSE,1,Am_Am
180,2015-05-14,panc,tyle,2,FALSE,1,Am_Am
181,2015-05-14,ring,flyn,3,TRUE,0,Am_Am
182,2015-05-14,panc,raje,3,TRUE,0,Am_Am
183,2015-05-14,ring,panc,3,TRUE,0,Am_Am
184,2015-05-15,coco,carm,1,FALSE,1,Af_Af
185,2015-05-15,coco,phoe,1,FALSE,1,Af_Af
186,2015-05-15,coco,talu,1,FALSE,1,Jm_Af
187,2015-05-15,dori,cind,1,FALSE,1,Jf_Af
188,2015-05-15,flyn,ring,1,FALSE,0,Am_Am
189,2015-05-15,holl,ocea,1,FALSE,1,Af_Af
190,2015-05-15,lucy,puck,1,FALSE,1,Jm_Af
191,2015-05-15,lucy,ring,1,FALSE,0,Am_Af
192,2015-05-15,mori,raje,1,FALSE,1,Am_Am
193,2015-05-15,mori,tyle,1,FALSE,0,Am_Am
194,2015-05-15,mori,tyle,1,FALSE,0,Am_Am
195,2015-05-15,mori,talu,1,FALSE,1,Jm_Am
196,2015-05-15,mori,talu,1,FALSE,1,Jm_Am
197,2015-05-15,panc,ring,1,FALSE,1,Am_Am
198,2015-05-15,panc,tyle,1,FALSE,1,Am_Am
199,2015-05-15,raje,ring,1,FALSE,0,Am_Am
200,2015-05-15,ring,panc,1,FALSE,0,Am_Am
201,2015-05-15,ring,flyn,1,FALSE,1,Am_Am
202,2015-05-15,sash,lucy,1,FALSE,1,Af_Af
203,2015-05-15,sash,tyle,1,FALSE,0,Am_Af
204,2015-05-15,tyle,flyn,1,FALSE,1,Am_Am
205,2015-05-15,tyle,flyn,1,FALSE,1,Am_Am
206,2015-05-15,wokb,talu,1,FALSE,0,Jm_Af
207,2015-05-15,panc,ring,2,FALSE,1,Am_Am
208,2015-05-15,tyle,ring,2,FALSE,1,Am_Am
209,2015-05-15,ocea,saff,3,TRUE,0,Jf_Af
210,2015-05-15,flyn,carm,3,TRUE,0,Af_Am
211,2015-05-18,coco,lucy,1,FALSE,1,Af_Af
212,2015-05-18,dori,ging,1,FALSE,1,Af_Af
213,2015-05-18,flyn,tyle,1,FALSE,0,Am_Am
214,2015-05-18,flyn,carm,1,FALSE,1,Af_Am
215,2015-05-18,holl,flo,1,FALSE,1,Af_Af
216,2015-05-18,mori,flyn,1,FALSE,1,Am_Am
217,2015-05-18,mori,raje,1,FALSE,1,Am_Am
218,2015-05-18,mori,tyle,1,FALSE,0,Am_Am
219,2015-05-18,mori,raje,1,FALSE,1,Am_Am
220,2015-05-18,mori,raje,1,FALSE,1,Am_Am
221,2015-05-18,panc,flyn,1,FALSE,1,Am_Am
222,2015-05-18,panc,holl,1,FALSE,1,Af_Am
223,2015-05-18,panc,lucy,1,FALSE,1,Af_Am
224,2015-05-18,panc,ring,1,FALSE,1,Am_Am
225,2015-05-18,panc,ring,1,FALSE,1,Am_Am
226,2015-05-18,panc,ring,1,FALSE,1,Am_Am
227,2015-05-18,panc,ring,1,FALSE,1,Am_Am
228,2015-05-18,phoe,flo,1,FALSE,1,Af_Af
229,2015-05-18,ring,flyn,1,FALSE,1,Am_Am
230,2015-05-18,ring,sash,1,FALSE,0,Af_Am
231,2015-05-18,sash,ging,1,FALSE,1,Af_Af
232,2015-05-18,tyle,coco,1,FALSE,1,Af_Am
233,2015-05-18,tyle,raje,1,FALSE,1,Am_Am
234,2015-05-18,fay,puck,3,TRUE,0,Jm_Af
235,2015-05-18,raje,flyn,3,TRUE,0,Am_Am
236,2015-05-18,oreo,carm,3,TRUE,0,Af_Jf
237,2015-05-19,flo,dori,1,FALSE,1,Af_Af
238,2015-05-19,flyn,flo,1,FALSE,1,Af_Am
239,2015-05-19,holl,fina,1,FALSE,1,Jf_Af
240,2015-05-19,holl,flo,1,FALSE,1,Af_Af
241,2015-05-19,lucy,holl,1,FALSE,1,Af_Af
242,2015-05-19,lucy,fay,1,FALSE,1,Af_Af
243,2015-05-19,lucy,wokb,1,FALSE,1,Af_Af
244,2015-05-19,mori,flo,1,FALSE,1,Af_Am
245,2015-05-19,mori,tyle,1,FALSE,0,Am_Am
246,2015-05-19,panc,coco,1,FALSE,1,Af_Am
247,2015-05-19,panc,talu,1,FALSE,1,Jm_Am
248,2015-05-19,panc,ring,1,FALSE,1,Am_Am
249,2015-05-19,panc,holl,1,FALSE,1,Af_Am
250,2015-05-19,panc,mori,1,FALSE,1,Am_Am
251,2015-05-19,phoe,fina,1,FALSE,1,Jf_Af
252,2015-05-19,raje,flyn,1,FALSE,0,Am_Am
253,2015-05-19,ring,lucy,1,FALSE,1,Af_Am
254,2015-05-19,sash,fay,1,FALSE,1,Af_Af
255,2015-05-19,sash,holl,1,FALSE,1,Af_Af
256,2015-05-19,sash,tyle,1,FALSE,0,Am_Af
257,2015-05-19,tyle,coco,1,FALSE,1,Af_Am
